[00:13:13] [main/ERROR]: Unable to bootstrap registry 'minecraft:chunk_generator_type'
[00:13:13] [main/ERROR]: Registry 'minecraft:chunk_generator_type' was empty after loading
[00:13:14] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:13:14] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:13:14] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:13:14] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:13:14] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:13:15] [Server thread/INFO]: Starting minecraft server version 20w14a
[00:13:15] [Server thread/INFO]: Loading properties
[00:13:15] [Server thread/INFO]: Default game type: SURVIVAL
[00:13:15] [Server thread/INFO]: Generating keypair
[00:13:16] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:13:16] [Server thread/INFO]: Using default channel type
[00:13:17] [Server thread/INFO]: Preparing level "world"
[00:13:17] [Server thread/INFO]: Reloading ResourceManager: Default
[00:13:21] [Server thread/INFO]: Loaded 6 recipes
[00:13:24] [Server thread/INFO]: Loaded 863 advancements
[00:13:31] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:13:34] [Server thread/INFO]: Preparing spawn area: 0%
[00:13:34] [Server thread/INFO]: Preparing spawn area: 0%
[00:13:34] [Server thread/INFO]: Preparing spawn area: 0%
[00:13:34] [Server thread/INFO]: Preparing spawn area: 0%
[00:13:34] [Server thread/INFO]: Preparing spawn area: 0%
[00:13:34] [Server thread/INFO]: Preparing spawn area: 0%
[00:13:34] [Server thread/INFO]: Preparing spawn area: 0%
[00:13:34] [Server thread/INFO]: Preparing spawn area: 0%
[00:13:35] [Server thread/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-2/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-3/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
[00:16:11] [Worker-1/INFO]: Preparing spawn area: 0%
